54,504,*Arambourg, C.*,**,**
54,504,*Coque, R.*,**,**
54,505,*Arambourg, C.*,**,**
54,505,*Guibe%A, J.*,**,**
54,506,*Arambourg, C.*,**,**
54,506,*Hoffstetter, R.*,**,**
54,507,*Arambourg, C.*,**,**
54,507,*Hoffstetter, R.*,**,**
54,508,*Arambourg, C.*,**,**
54,508,*Mouta, F.*,**,**
54,509,*Ara%Auz, Julio*,**,**
54,510,*Ara%Auz, Julio*,**,**
54,511,*Ara%Auz, Julio*,**,**
54,512,*Ara%Auz, Julio*,**,**
54,513,*Ardrey, Robert*,**,**
54,514,*Ardrey, Robert*,**,**
54,515,*Arellano, Alberto R. V.*,**,**
54,516,*Arembovskii, I. V.*,**,**
54,518,*Arkell, A. J.*,**,**
54,519,*Arkell, A. J.*,**,**
54,520,*Arkell, A. J.*,**,**
54,521,*Armbruster, Roger*,**,**
54,522,*Armbruster, R.*,**,**
54,522,*Antoine, R. C.*,**,**
54,523,*Arnould, M. C.*,**,**
54,523,*Burollet, P. F.*,**,**
54,524,*Arredondo, Oscar*,**,**
54,525,*Arredondo, Oscar*,**,**
54,526,*Arredondo, Oscar*,**,**
54,527,*Arredondo, Oscar*,**,**
54,528,*Arthur, D. R.*,**,**
54,529,*Ascenzi, Antonio*,**,**
54,530,*Ascenzi, Antonio*,**,**
54,531,*Ashe, Thomas*,**,**
54,532,*Ashton, E. H.*,**,**
54,533,*Ashton, E. H.*,**,**
54,534,*Ashton, E. H.*,**,**
54,534,*Healy, M. J. R.*,**,**
54,534,*Lipton, S.*,**,**
54,535,*Ashton, E. H.*,**,**
54,535,*Pardoe, W. J.*,**,**
54,535,*Zuckerman, S.*,**,**
54,536,*Ashton, E. H.*,**,**
54,536,*Pardoe, W. J.*,**,**
54,536,*Zuckerman, S.*,**,**
54,537,*Ashton, E. H.*,**,**
54,537,*Spence, T. F.*,**,**
54,538,*Ashton, E. H.*,**,**
54,538,*Zuckerman, S.*,**,**
54,539,*Ashton, E. H.*,**,**
54,539,*Zuckerman, S.*,**,**
54,540,*Ashton, E. H.*,**,**
54,540,*Zuckerman, S.*,**,**
54,541,*Ashton, E. H.*,**,**
54,541,*Zuckerman, S.*,**,**
54,542,*Ashton, E. H.*,**,**
54,542,*Zuckerman, S.*,**,**
54,543,*Astre, Gaston*,**,**
54,544,*Astre, Gaston*,**,**
54,545,*Astre, Gaston*,**,**
54,546,*Astre, Gaston*,**,**
54,547,*Astre, Gaston*,**,**
54,548,*Astre, Gaston*,**,**
54,549,*Astre, Gaston*,**,**
54,550,*Astre, Gaston*,**,**
54,551,*Astre, Gaston*,**,**
54,552,*Astre, Gaston*,**,**
54,553,*Astre, Gaston*,**,**
54,554,*Astre, Gaston*,**,**
54,555,*Astre, Gaston*,**,**
54,556,*Astre, Gaston*,**,**
54,557,*Astre, Gaston*,**,**
54,558,*Athon, Lewis H.*,**,**
54,559,*Attridge, John*,**,**
54,560,*Attridge, John*,**,**
54,561,*Aublant, Ch.*,**,**
54,562,*Auffenberg, Walter*,**,**
54,563,*Auffenberg, Walter*,**,**
54,564,*Auffenberg, Walter*,**,**
54,565,*Auffenberg, Walter*,**,**
54,566,*Auffenberg, Walter*,**,**
54,567,*Auffenberg, Walter*,**,**
54,568,*Auffenberg, Walter*,**,**
54,569,*Auffenberg, Walter*,**,**
54,570,*Auffenberg, Walter*,**,**
54,571,*Auffenberg, Walter*,**,**
54,572,*Auffenberg, Walter*,**,**
54,573,*Auffenberg, Walter*,**,**
