99,381,*AGUILERA, JOSE G.*,**,**
99,382,*AGUILERAY GAMBOA CERRALBO, ENRIQUE de*,**,**
99,383,*AHL, ERNST*,**,**
99,384,*AHL, ERNST*,**,**
99,385,*AHLBORN, FR.*,**,**
99,386,*AHLBURG, JOHANNES*,**,**
99,387,*AHRENS, THEODOR G.*,**,**
99,388,*AICHEL, OTTO*,**,**
99,389,*AICHEL, OTTO*,**,**
99,390,*AICHEL, OTTO*,**,**
99,391,*AICHEL, OTTO*,**,**
99,392,*AICHHORN, SIGMUND*,**,**
99,393,*AICHHORN, SIGMUND*,**,**
99,394,*AICHHORN, S.*,**,**
99,394,*ARNOLD PLANKENSTEINER*,**,**
99,395,*AIRAGHI, CARLO*,**,**
99,396,*AIRAGHI, CARLO*,**,**
99,397,*AIRAGHI, CARLO*,**,**
99,398,*AIRAGHI, CARLO*,**,**
99,399,*AIRAGHI, CARLO*,**,**
99,400,*AIRAGHI, CARLO*,**,**
99,401,*AIRAGHI, CARLO*,**,**
99,402,*AIRAGHI, CARLO*,**,**
99,403,*AIRAGHI, CARLO*,**,**
99,404,*AIRAGHI, CARLO*,**,**
99,405,*AIRAGHI, CARLO*,**,**
99,406,*AIRAGHI, CARLO*,**,**
99,407,*AIRAGHI, CARLO*,**,**
99,408,*AIRAGHI, CARLO*,**,**
99,409,*AITKEN, JOHN*,**,**
99,410,*AITKEN, JOHN*,**,**
99,411,*AITKEN, JOHN*,**,**
99,412,*AITKEN, JOHN*,**,**
99,413,*AITKEN, JOHN*,**,**
99,414,*AITKEN, JOHN*,**,**
99,415,*ALBERT, von*,**,**
99,416,*ALBERT, I. (Prince of Monaco)*,**,**
99,417,*ALBERTI, ALBERTO LUIGI*,**,**
99,418,*ALBERTI, FRIEDRICH AUGUST von*,**,**
99,419,*ALBERTI, FRIEDRICH AUGUST von*,**,**
99,420,*ALBERTI, FRIEDRICH AUGUST von*,**,**
99,421,*ALBERTI, FRIEDRICH AUGUST von*,**,**
99,422,*ALBERTI, VALENTIN*,**,**
99,422,*J. A. BRUNNER*,**,**
99,423,*ALBINUS, PETRUS*,*= PETER*,**
99,424,*ALBRECHT, O.*,*= OSKAR*,**
99,425,*ALBRECHT, PAUL*,**,**
99,426,*ALDINIO, P.*,**,**
99,427,*ALDROVANDI, ULYSSE*,*=ULISSE*,**
99,428,*ALDROVANDI, ULYSSE*,*=ULISSE*,**
99,429,*ALDROVANDI, ULYSSE*,*=ULISSE*,**
99,430,*ALEMAGNA, C.*,*=CARMELO*,**
99,431,*ALESSANDRI, GIULIO de*,**,**
99,432,*ALESSANDRI, GIULIO de*,**,**
99,433,*ALESSANDRI, GIULIO de*,**,**
99,434,*ALESSANDRI, GIULIO de*,**,**
99,435,*ALESSANDRI, GIULIO de*,**,**
99,436,*ALESSANDRI, GIULIO de*,**,**
