59,610,*Arata, Andrew A.*,**,**
59,611,*Arata, Andrew A.*,**,**
59,612,*Ardrey, Robert*,**,**
59,613,*Ardrey, Robert*,**,**
59,614,*Argyropoulo, A. J.*,**,**
59,614,*Vinogradov, B.*,**,**
59,616,*Arkell, Anthony John*,**,**
59,617,*Arkell, Anthony John*,**,**
59,618,*Armbruster, Sylvia*,**,**
59,619,*Armenta, Jose*,**,**
59,620,*Armenta Camarcho, Juan*,**,**
59,621,*Armillas, Pedro*,**,**
59,622,*Arms, Bernard C.*,**,**
59,622,*Armstrong, A. Leslie*,**,**
59,623,*Arnold, Brigham A.*,**,**
59,624,*Arnold, D. C.*,**,**
59,625,*Arnould-Saget, Suzanne*,**,**
59,625,*Magnier, P.*,**,**
59,626,*Ascenzi, Antonio*,**,**
59,627,*Ash, Sidney R.*,**,**
59,628,*Ashton, E. H.*,**,**
59,629,*Ashton, E. H.*,**,**
59,630,*Ashton, E. H.*,**,**
59,631,*Asimov, Isaac*,**,**
59,632,*Aslanova, S. M.*,**,**
59,633,*Aso%N, Masaru*,**,**
59,634,*Asselberghs, E.*,**,**
59,635,*Astre, Gaston*,**,**
59,636,*Astre, Gaston*,**,**
59,637,*Astre, Gaston*,**,**
59,638,*Astre, Gaston*,**,**
59,639,*Astre, Gaston*,**,**
59,640,*Astre, Gaston*,**,**
59,641,*Astre, Gaston*,**,**
59,642,*Astre, Gaston*,**,**
59,643,*Astre, Gaston*,**,**
59,644,*Astre, Gaston*,**,**
59,645,*Astre, Gaston*,**,**
59,646,*Astre, Gaston*,**,**
59,647,*Astre, Gaston*,**,**
59,648,*Astre, Gaston*,**,**
59,649,*Astre, Gaston*,**,**
59,650,*Astre, Gaston*,**,**
59,651,*Astre, Gaston*,**,**
59,652,*Astre, Gaston*,**,**
59,654,*Attridge, John*,**,**
59,655,*Auffenberg, Walter*,**,**
59,656,*Auffenberg, Walter*,**,**
59,657,*Auffenberg, Walter*,**,**
59,659,*Auffenberg, Walter*,**,**
59,660,*Auffenberg, Walter*,**,**
59,661,*Auffenberg, Walter*,**,**
59,662,*Auffenberg, Walter*,**,**
59,663,*Auffenberg, Walter*,**,**
59,664,*Auffenberg, Walter*,**,**
59,665,*Auffenberg, Walter*,**,**
59,666,*Auffenberg, Walter*,**,**
59,667,*Auffenberg, Walter*,**,**
59,668,*Auffenberg, Walter*,**,**
59,669,*Auffenberg, Walter*,**,**
59,670,*Auffenberg, Walter*,**,**
59,671,*Auffenberg, W.*,**,**
59,671,*Goin, C. J.*,**,**
59,672,*Aufre%Cre, Le%Aon*,**,**
59,673,*Aufre%Cre, Le%Aon*,**,**
59,674,*Augusta, Josef*,**,**
59,675,*Augusta, Josef*,**,**
59,677,*Augusta, J.*,**,**
59,677,*Burian, Z.*,**,**
59,678,*Augusta, J.*,**,**
59,678,*Burian, Z.*,**,**
59,679,*Augusta, J.*,**,**
59,679,*Burian, Z.*,**,**
59,680,*Aumann, Georg*,**,**
59,681,*Aumann, Georg*,**,**
59,682,*Aumann, Georg*,**,**
59,683,*Aumann, Georg*,**,**
59,684,*Avakian, L. A.*,**,**
59,685,*Avdusin, D. A.*,**,**
59,686,*Aveleyra Arroyo de Anda, Luis*,**,**
59,687,*Aveleyra Arroyo de Anda, Luis*,**,**
59,688,*Aveleyra Arroyo de Anda, Luis*,**,**
59,689,*Aveleyra Arroyo de Anda, Luis*,**,**
59,690,*Aveleyra Arroyo de Anda, Luis*,**,**
59,691,*Aveleyra Arroyo de Anda, Luis*,**,**
59,693,*Avis, Virginia*,**,**
59,694,*Avnime%Alech, Moshe%A*,**,**
59,695,*Avnime%Alech, Moshe%A*,**,**
59,696,*Avnime%Alech, Moshe%A*,**,**
59,697,*Avnime%Alech, Moshe%A*,**,**
59,698,*Axelrod, Daniel I.*,**,**
59,698,*Heyneman, D.*,**,**
59,698,*Howell, T. R.*,**,**
59,699,*de Azevedo, Thales*,**,**
59,701,*Azzaroli, Augusto*,**,**
59,702,*B., J. D.*,**,**
59,702,*F. G.*,**,**
59,703,*B., K. H.*,**,**
59,703,*C., J. D.*,**,**
59,703,*M., B. D.*,**,**
59,703,*T., A.M.*,**,**
59,704,*Bach, Herbert*,**,**
59,705,*Bach, Herbert*,**,**
59,706,*Bach, Herbert*,**,**
59,707,*Bach, Herbert*,**,**
59,708,*Bach, Herbert*,**,**
59,709,*Bachinsky, G. A.*,**,**
59,710,*Bachinsky, G. A.*,**,**
59,711,*Bachinsky, G. A.*,**,**
59,712,*Bachinsky, G. A.*,**,**
59,712,*Kolosov, Y. G.*,**,**
59,713,*Ba%Fchler, Heinz*,**,**
59,715,*Bachmayer, F.*,**,**
59,715,*Schaffer, H.*,**,**
59,716,*Bachmayer, F.*,**,**
59,716,*Warch, A.*,**,**
59,717,*Bachmayer, F.*,**,**
59,717,*Zapfe, H.*,**,**
59,718,*Bachmayer, F.*,**,**
59,718,*Zapfe, H.*,**,**
59,719,*Bachmayer, F.*,**,**
